"","Post","Entity","Position","Type","message"
"30","1015","Scott J. Davidson","252","Person","RT @climatechangeUW : New science led by @natureunited_ca shows that Natural Climate Solutions can reduce Canada’s emissions by up to 78 megatonnes of CO2e annually in 2030. Study features @UWaterloo peatland experts Maria Strack (@wetland_GHG) &amp; Scott J. Davidson (@ScootJD): https://t.co/chJBN6sX6i https://t.co/GA1z2Wi69j"
"31","1015","2030","169","Date","RT @climatechangeUW : New science led by @natureunited_ca shows that Natural Climate Solutions can reduce Canada’s emissions by up to 78 megatonnes of CO2e annually in 2030. Study features @UWaterloo peatland experts Maria Strack (@wetland_GHG) &amp; Scott J. Davidson (@ScootJD): https://t.co/chJBN6sX6i https://t.co/GA1z2Wi69j"
"32","1015","://t.co/GA1z2Wi69j","311","Date","RT @climatechangeUW : New science led by @natureunited_ca shows that Natural Climate Solutions can reduce Canada’s emissions by up to 78 megatonnes of CO2e annually in 2030. Study features @UWaterloo peatland experts Maria Strack (@wetland_GHG) &amp; Scott J. Davidson (@ScootJD): https://t.co/chJBN6sX6i https://t.co/GA1z2Wi69j"
"33","1016","Niayesh Afshordi","81","Person","Modeling the mysteries of the universe, closer to home.

@WaterlooSci Professor Niayesh Afshordi used his knowledge of modeling the mysteries of the Cosmos to start modeling the mysteries of COVID-19.

https://t.co/8Wadk1Kmwb https://t.co/2TVCcZRmsE"
"34","1018","National Council of Canadian Muslims","117","Organization","RT @uwaterlooHREI : We are shaken with grief and horror. We stand with others, including Mustaga Farooq, CEO of the National Council of Canadian Muslims, to name this tragedy as terrorism, and seek justice for this family."
"35","1019","627-3342","162","Organization","RT @UWaterlooPres : Know that help is available if you are struggling or grieving. 

Mental health support line for Muslim youth @NaseehaHelpline 1-866-NASEEHA (627-3342)

Students:
Counselling Services 519-888-4567 ext. 32655 
Empower Me 1-833-628-5589

Employees: 
Homewood Health1-800-663-1142"
"36","1019","Counselling Services","183","Organization","RT @UWaterlooPres : Know that help is available if you are struggling or grieving. 

Mental health support line for Muslim youth @NaseehaHelpline 1-866-NASEEHA (627-3342)

Students:
Counselling Services 519-888-4567 ext. 32655 
Empower Me 1-833-628-5589

Employees: 
Homewood Health1-800-663-1142"
"37","102","Canada","184","Location","2/2 The new Cyber Security Innovation Network will support further research and development, increase commercialization opportunities, and develop skilled cybersecurity talent across Canada.

Read more: https://t.co/uOUsgUBwQC https://t.co/KwFdgMsXyE"
"38","1020","London","78","Location","RT @UWaterlooPres : I am heartbroken and horrified over the deadly attack in London, Ont. It is Islamophobia, and it is terrorism. We must not stand for this.

I want all Muslims at @UWaterloo and beyond to know: we are here for you as you grieve the loss of this family. We grieve with you."
"39","1021","CS PhD","32","Organization","RT @WaterlooMath : Congrats to CS PhD student @shenghao_yang for being awarded a 2021 @BorealisAI Fellowship! These fellowships aim to support Canadian academic excellence in AI &amp; ML, and help students carry out research, as they pursue grad degrees in various fields of AI: https://t.co/67Rg8MxcqX https://t.co/Xhiz9n4P7o"
"40","1021","2021","82","Date","RT @WaterlooMath : Congrats to CS PhD student @shenghao_yang for being awarded a 2021 @BorealisAI Fellowship! These fellowships aim to support Canadian academic excellence in AI &amp; ML, and help students carry out research, as they pursue grad degrees in various fields of AI: https://t.co/67Rg8MxcqX https://t.co/Xhiz9n4P7o"
"41","1023","://t.co/S71z6MjT9F","161","Date","Getting vaccinated can bring us all back together. Faster.

Ontario youth aged 12 and over are eligible to book their #COVID19 vaccine appointment through https://t.co/S71z6MjT9F https://t.co/5ub1xQ16bQ"
"42","1023","://t.co/5ub1xQ16bQ","185","Date","Getting vaccinated can bring us all back together. Faster.

Ontario youth aged 12 and over are eligible to book their #COVID19 vaccine appointment through https://t.co/S71z6MjT9F https://t.co/5ub1xQ16bQ"
"43","1024","Health","76","Organization","RT @Medinnovx : Great article about @UWaterloo alumni @RMBartholomew @HyivyHealth #MedTech #healthinnovation https://t.co/H3vi1JK6IK"
"44","1025","Looking","16","Organization","@uwaterlooARTS Looking good! ??????"
"45","1028","Nature’s Communications Earth &amp; Environment","51","Organization","RT @UWaterlooNews : In a study published today in Nature’s Communications Earth &amp; Environment journal #UWaterloo researchers project carbon loss in Canada will increase by 103 per cent under a high emission scenario. 

Read more: https://t.co/3gXFJ5Kuu6 https://t.co/k3W9bxmptq"
"46","1028","today","42","Date","RT @UWaterlooNews : In a study published today in Nature’s Communications Earth &amp; Environment journal #UWaterloo researchers project carbon loss in Canada will increase by 103 per cent under a high emission scenario. 

Read more: https://t.co/3gXFJ5Kuu6 https://t.co/k3W9bxmptq"
"47","1028","Canada","153","Location","RT @UWaterlooNews : In a study published today in Nature’s Communications Earth &amp; Environment journal #UWaterloo researchers project carbon loss in Canada will increase by 103 per cent under a high emission scenario. 

Read more: https://t.co/3gXFJ5Kuu6 https://t.co/k3W9bxmptq"
"48","1029","Listen","253","Organization","On the latest episode of #BeyondTheBulletin, Jean Becker of Indigenous Initiatives &amp; @uwaterlooHREI discusses the painful discovery of the children’s remains at a former residential school in Kamloops and the effects on truth &amp; reconciliation. Listen here https://t.co/j86lY7gIvM https://t.co/q1HXLdypxb"
"49","1029","Jean Becker","46","Person","On the latest episode of #BeyondTheBulletin, Jean Becker of Indigenous Initiatives &amp; @uwaterlooHREI discusses the painful discovery of the children’s remains at a former residential school in Kamloops and the effects on truth &amp; reconciliation. Listen here https://t.co/j86lY7gIvM https://t.co/q1HXLdypxb"
"50","103","Science and Industry","80","Organization","1/2 Today, the Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry announced that the National Cybersecurity Consortium will receive up to $80M to lead the Cyber Security Innovation Network. #UWaterloo is one of five founding members of the NCC."
"51","103","National Cybersecurity Consortium","120","Organization","1/2 Today, the Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry announced that the National Cybersecurity Consortium will receive up to $80M to lead the Cyber Security Innovation Network. #UWaterloo is one of five founding members of the NCC."
"52","103","Cyber Security Innovation Network","190","Organization","1/2 Today, the Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry announced that the National Cybersecurity Consortium will receive up to $80M to lead the Cyber Security Innovation Network. #UWaterloo is one of five founding members of the NCC."
"53","103","Today","5","Date","1/2 Today, the Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry announced that the National Cybersecurity Consortium will receive up to $80M to lead the Cyber Security Innovation Network. #UWaterloo is one of five founding members of the NCC."
"54","103","$80M to","173","Money","1/2 Today, the Honourable François-Philippe Champagne, Minister of Innovation, Science and Industry announced that the National Cybersecurity Consortium will receive up to $80M to lead the Cyber Security Innovation Network. #UWaterloo is one of five founding members of the NCC."
"55","1030","://t.co/FKy6Y59ss0","192","Date","RT @WaterlooMath : Personalizing cancer treatment through machine learning. @UWCheritonCS researchers have found a way to customize cancer vaccines to provide more effective treatment : https://t.co/FKy6Y59ss0

#NationalCancerSurvivorDay #HealthTech #UWaterlooResearch"
"56","1031","://t.co/5Q56RmNwv8","281","Date","#UWaterlooAlumni Rachel Bartholomew is a cancer survivor whose startup was inspired by her treatment. 

She founded @HyivyHealth, a rehab system helping women recover from cervical cancer, gender-affirming surgery and childbirth. https://t.co/30XUiKrO3p 

#UWaterlooMagazine https://t.co/5Q56RmNwv8"
"57","1033","this month","189","Date","We've been celebrating Feridun Hamdullahpur's #DecadeOfImpact. As the 6th president &amp; vice-chancellor of #UWaterloo, he's left an indelible mark. 

@UWaterlooPres completes his tenure this month and we invite you to share your memories on our Tribute wall https://t.co/Ho5WmeONz2 https://t.co/e5ScsDclKQ"
"58","1035","Financial Management","100","Organization","RT @UWaterlooNews : New degree on offer!

#UWaterloo is offering Canada’s first Sustainability and Financial Management degree to prepare a new generation of accounting and finance professionals to lead businesses through an era of environmental sustainability.

Read more: https://t.co/eSlW4cJUAz https://t.co/66zEcpmq7R"
"59","1036","Kelsey Leonard","98","Person","Exploring the ethics of water in recognition of #WorldEnvironmentDay tomorrow. @envwaterloo prof Kelsey Leonard believes that to protect water for future generations we need to recognize its inherent rights to exist, flourish &amp; naturally evolve. Learn more https://t.co/XsbrPJ3YNr https://t.co/1mFsbdRZYk"
"60","1036","tomorrow","70","Date","Exploring the ethics of water in recognition of #WorldEnvironmentDay tomorrow. @envwaterloo prof Kelsey Leonard believes that to protect water for future generations we need to recognize its inherent rights to exist, flourish &amp; naturally evolve. Learn more https://t.co/XsbrPJ3YNr https://t.co/1mFsbdRZYk"
"61","1037","Arctic","88","Location","A @WaterlooSci PhD student partners with Indigenous elders and fishers to conserve the Arctic char population in Nunavut.

“We should be listening to the people who have lived in these communities and fished in these waters for generations.” Learn more https://t.co/Eg1fatpqpl https://t.co/oNgGaLFhbh"
"62","1038","University of Waterloo","135","Organization","RT @JohnChen : @UWaterlooPres Feridun, thank you for your friendship and partnership. Your over a #DecadeOfImpact as President of the University of Waterloo has been exceptionally valuable for your students and all of Canada. Congratulations and best wishes for your retirement. https://t.co/4SMvdxYzaf"
"63","1038","Canada","219","Location","RT @JohnChen : @UWaterlooPres Feridun, thank you for your friendship and partnership. Your over a #DecadeOfImpact as President of the University of Waterloo has been exceptionally valuable for your students and all of Canada. Congratulations and best wishes for your retirement. https://t.co/4SMvdxYzaf"
"64","1039","://t.co/S71z6MjT9F","161","Date","Getting vaccinated can bring us all back together. Faster.

Ontario youth aged 12 and over are eligible to book their #COVID19 vaccine appointment through https://t.co/S71z6MjT9F https://t.co/LQjfshvA92"
"65","104","Canada","104","Location","RT @envwaterloo : Registration for #TogetherEnsemble2022 is now LIVE! Join thought leaders from across Canada for critical conversations on #climateaction, #systemschange, #reconciliACTION and pathways to progress on the #SDGs. Don’t miss out Mar 2-4! 
Register here: https://t.co/7WrPAVSMjn https://t.co/msWs6dMFEC"
"66","1040","Robert Norrie","22","Person","#UWaterlooAlumni Dr. Robert Norrie is working on the frontline during the pandemic. He shares how teamwork &amp; resilience get him through the day. 

“Resilience is not something you have or don’t have...It’s something you develop.” 

#UWaterlooMagazine https://t.co/mCM2uoX3kr https://t.co/AJra9dKhNJ"
"67","1041","Hi Emerson","12","Person","@LaCroixER Hi Emerson - You need the WatSAFE app on your device or WatSAFE Desktop Notification tool on your desktop/laptop to receive this test message. If you have these and didn't receive a notification you should email helpdesk@uwaterloo.ca."
"68","1041","Hi Emerson","12","Location","@LaCroixER Hi Emerson - You need the WatSAFE app on your device or WatSAFE Desktop Notification tool on your desktop/laptop to receive this test message. If you have these and didn't receive a notification you should email helpdesk@uwaterloo.ca."
"69","1042","://t.co/9dP4xjU46u","89","Date","Happy #PrideMonth2021 ??   

Check out ways to celebrate, learn and take action ?? https://t.co/9dP4xjU46u"
"70","1043","BA","46","Organization","RT @uwaterlooalumni : Recently, Mark Schaan (BA '02) and two other LGBTQ+ #UWaterlooAlumni shared what the Glow Centre meant to them.

Read their stories: https://t.co/k3caSXYGoH #Pride https://t.co/fBWFGVDco9"
"71","1043","Mark Schaan","33","Person","RT @uwaterlooalumni : Recently, Mark Schaan (BA '02) and two other LGBTQ+ #UWaterlooAlumni shared what the Glow Centre meant to them.

Read their stories: https://t.co/k3caSXYGoH #Pride https://t.co/fBWFGVDco9"
"72","1044","UW Emergency Notification System","17","Organization","The test of the UW Emergency Notification System is complete."
"73","1045","UW Emergency Notification System","13","Organization","TEST of the UW Emergency Notification System. During an actual emergency or threat you would receive instructions. No action is required."
"74","1047","Harrison Oakes","19","Person","#UWaterlooAlumni, Harrison Oakes (MA ’16, PhD ’20), used his trauma to make a positive impact on the lives of others.   

His research shows how homophobia harms all high school students, not just those who identify as LGBTQ+. Read more: https://t.co/mqGAW1E2MB https://t.co/Pv0lM6sWvs"
"75","1048","today","74","Date","Reminder: The University’s emergency communication system will be tested today around 11:00 a.m. More info available at https://t.co/sYBzfJDDnD"
"76","1048","11:00","87","Date","Reminder: The University’s emergency communication system will be tested today around 11:00 a.m. More info available at https://t.co/sYBzfJDDnD"
"77","105","3,000","141","Date","RT @envwaterloo : Do you have a solution to a major global problem? Apply to the World's Challenge Challenge! Winners will be eligible for $3,000 total prize money.

Sign up now: https://t.co/xVWJYY59bz https://t.co/bwHVkTcgaV"
"78","105","$","140","Money","RT @envwaterloo : Do you have a solution to a major global problem? Apply to the World's Challenge Challenge! Winners will be eligible for $3,000 total prize money.

Sign up now: https://t.co/xVWJYY59bz https://t.co/bwHVkTcgaV"
"79","1050","Hi","29","Location","@bars99_mars @UWaterlooPres Hi there - This investment strategy will serve to mitigate the risks of climate change while protecting returns on our investments. You can read the investment report here: https://t.co/i9OAnmuz3u"
"80","1051","Today","1","Date","Today, #UWaterloo commits to reducing the carbon footprint of its pension and endowment investments 50% by 2030, and achieve net-neutral by 2040.

This commitment is the next step in addressing our climate emergency. 

Read more: https://t.co/hMJ17N2lxP https://t.co/2LuBXN9UlQ"
"81","1051","2030","108","Date","Today, #UWaterloo commits to reducing the carbon footprint of its pension and endowment investments 50% by 2030, and achieve net-neutral by 2040.

This commitment is the next step in addressing our climate emergency. 

Read more: https://t.co/hMJ17N2lxP https://t.co/2LuBXN9UlQ"
"82","1051","2040","141","Date","Today, #UWaterloo commits to reducing the carbon footprint of its pension and endowment investments 50% by 2030, and achieve net-neutral by 2040.

This commitment is the next step in addressing our climate emergency. 

Read more: https://t.co/hMJ17N2lxP https://t.co/2LuBXN9UlQ"
"83","1052","School of Public Health Sciences","82","Organization","RT @uwaterloohealth : ICYMI: Starting today, our School will now be known as the School of Public Health Sciences! This new name does not change its affiliation with #UWaterlooHealth or @uwaterloo, but better reflects this academic unit's research and teaching strengths. Follow @UWaterlooSPHS ???? https://t.co/0Y3422jU1R"
"84","1052","today","39","Date","RT @uwaterloohealth : ICYMI: Starting today, our School will now be known as the School of Public Health Sciences! This new name does not change its affiliation with #UWaterlooHealth or @uwaterloo, but better reflects this academic unit's research and teaching strengths. Follow @UWaterlooSPHS ???? https://t.co/0Y3422jU1R"
"85","1053","://t.co/3CKpr59G3y","286","Date","When “reconciliation” is in your job description.

.@uwaterlooARTS grad student Savanah Seaton is helping employers create workplaces where Indigenous employees feel a sense of belonging to fully contribute their untapped knowledge and skills.

Read more: https://t.co/335vTouYjF https://t.co/3CKpr59G3y"
"86","1055","Student Joy Braga","57","Organization","Today is the start of #NationalIndigenousHistoryMonth 

Student Joy Braga offers ways we can commemorate this special month and why it’s especially important for non-Indigenous people to learn about Canada’s treatment of Indigenous Peoples.

https://t.co/mouQjylSlq https://t.co/8UPi93Zx6k"
"87","1055","Today","1","Date","Today is the start of #NationalIndigenousHistoryMonth 

Student Joy Braga offers ways we can commemorate this special month and why it’s especially important for non-Indigenous people to learn about Canada’s treatment of Indigenous Peoples.

https://t.co/mouQjylSlq https://t.co/8UPi93Zx6k"
"88","1055","://t.co/8UPi93Zx6k","272","Date","Today is the start of #NationalIndigenousHistoryMonth 

Student Joy Braga offers ways we can commemorate this special month and why it’s especially important for non-Indigenous people to learn about Canada’s treatment of Indigenous Peoples.

https://t.co/mouQjylSlq https://t.co/8UPi93Zx6k"
"89","1058","today","73","Date","RT @ActSciProf : Lovely tribute to UW's outgoing President Hamdullahpur today. I remember when I was a young faculty member, at one of the first President's town halls with my 6-week-old baby in tow, he specifically mentioned him as an important guest. #DecadeOfImpact"
"90","1059","Diana","48","Person","@ActSciProf Thank you for sharing this memory, Diana. ????"
"91","106","Donald Phillips’s","20","Person","RT @WaterlooMath : Donald Phillips’s career started with @UWaterloo co-op education program. He says “I’m a work-based learning success story!” With time, he found a love for making a difference by working with students to set career goals. Click to read the full story https://t.co/xu8WXvQrhG ??"
"92","1060","Today","18","Date","RT @UWVelocity : Today we celebrate @UWaterlooPres #DecadeOfImpact by extending our sincere gratitude for his unwavering support throughout the growth of Velocity. Feridun's impact on innovation and entrepreneurship in our community will continue to make waves for years to come. Thank you! https://t.co/TYnoiESLGS"
"93","1062","today","92","Date","RT @QuantumIQC : Join us as we celebrate President Feridun Hamdullahpur’s decade of impact today at 2:30. https://t.co/8ejjnkMy4F #DecadeOfImpact"
"94","1063","Today","1","Date","Today, students, faculty and staff are coming together for a virtual event to celebrate President Hamdullahpur.

Share your tribute to @UWaterlooPres using #DecadeOfImpact or submit it here: https://t.co/Ho5WmeONz2 https://t.co/SIQGxRM275"
"95","1064","Dr. Kathy Hogarth","100","Person","RT @RTPARKUW : In today’s R+T Park newsletter: celebrating a decade of impact with @UWaterlooPres, Dr. Kathy Hogarth provides insights on social justice &amp; equity in a virtual world, plus we take a look at our park’s newest outdoor space: the R+T Park Ion Community Space! https://t.co/m7KNgt3wqk https://t.co/tf9os75C9R"
"96","1064","://t.co/tf9os75C9R","306","Date","RT @RTPARKUW : In today’s R+T Park newsletter: celebrating a decade of impact with @UWaterlooPres, Dr. Kathy Hogarth provides insights on social justice &amp; equity in a virtual world, plus we take a look at our park’s newest outdoor space: the R+T Park Ion Community Space! https://t.co/m7KNgt3wqk https://t.co/tf9os75C9R"
"97","1065","Human Development","39","Organization","RT @OHDuwaterloo : Organizational and Human Development joins the Waterloo Community in celebrating Feridun Hamdullahpur, University of Waterloo's sixth president and vice-chancellor, and his #DecadeOfImpact. We are thankful for his commitment to the employee groups at our University.  @UWaterloo https://t.co/tqzp5Q55wV"
"98","1065","University of Waterloo","123","Organization","RT @OHDuwaterloo : Organizational and Human Development joins the Waterloo Community in celebrating Feridun Hamdullahpur, University of Waterloo's sixth president and vice-chancellor, and his #DecadeOfImpact. We are thankful for his commitment to the employee groups at our University.  @UWaterloo https://t.co/tqzp5Q55wV"
"99","1068","Truth and Reconciliation Calls","107","Organization","RT @UWaterlooPres : It is a stark and horrifying reminder of the importance of advancing the goals of the Truth and Reconciliation Calls to Action. Let us continue this work as we mourn and honour these children. May their families and communities find closure and peace."
"100","1068","May","214","Date","RT @UWaterlooPres : It is a stark and horrifying reminder of the importance of advancing the goals of the Truth and Reconciliation Calls to Action. Let us continue this work as we mourn and honour these children. May their families and communities find closure and peace."
"101","1069","Kamloops","139","Location","RT @UWaterlooPres : UWaterloo joins the nation in mourning the unthinkable loss of 215 children whose remains were found at the site of a Kamloops residential school. Our hearts are with the Tk’emlups te Secwépemc people, all Indigenous communities and everyone affected by the devastating news."
"102","1070","Read","237","Organization","Paying it forward for the next-generation of women in #computerscience.

Keer Liu, @WaterlooMath student, was inspired by her female role models to not only lead in a male dominated industry, but to build bridges for other young women. Read her story: https://t.co/VG4ThsylzX https://t.co/wrChhP3kHi"
"103","1070","Keer Liu","74","Person","Paying it forward for the next-generation of women in #computerscience.

Keer Liu, @WaterlooMath student, was inspired by her female role models to not only lead in a male dominated industry, but to build bridges for other young women. Read her story: https://t.co/VG4ThsylzX https://t.co/wrChhP3kHi"
"104","1072","UW","236","Organization","RT @berryonline : Yesterday, I was honoured to join the global @UWaterloo community to recognize Feridun Hamdullahpur on his retirement &amp; to thank him for his #DecadeOfImpact as @UWaterlooPres. Thx for all you have done, including UW's partnership with @CityKitchener on new #HealthInnovationArena! https://t.co/8YUDeKv6Lj"
"105","1072","Yesterday","19","Date","RT @berryonline : Yesterday, I was honoured to join the global @UWaterloo community to recognize Feridun Hamdullahpur on his retirement &amp; to thank him for his #DecadeOfImpact as @UWaterlooPres. Thx for all you have done, including UW's partnership with @CityKitchener on new #HealthInnovationArena! https://t.co/8YUDeKv6Lj"
"106","1073","next week","40","Date","RT @uwaterlooHREI : Pride month starts next week! The pandemic has (once again) disrupted typical avenues for celebration and community, but there are lots of ways to celebrate, learn, &amp; take action: https://t.co/3NQ9LtBc6y https://t.co/CFjDoEediQ"
"107","1074","last decade","190","Date","RT @BardishKW : Thank you @UWaterlooPres for your hard work, valuable contributions, and leadership in education and innovation as the president &amp; vice-chancellor at @UWaterloo for the last decade. I'm happy you’re staying in #KWAwesome and I wish you the best in your future endeavours. https://t.co/HN2E3gCegZ"
